simulation_id,json_file,sequence,actor,text,external_id,audio_file_id
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,5,SYM,4 5 6 5.,34b2f22a-18c4-4848-8a36-70c4f0075da2,7be55e59-365b-4082-82b4-cd47c8ba5c9f
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,6,TRAINEE,Thank you for that.,4222c700-c196-4a68-bd93-641b75b44740,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,7,TRAINEE,"I see that you and John are sailing on Carnival Horizon, December 6th, 2025, is that correct?",fe455075-a6f7-4987-b160-b7c2dcc08a82,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,8,SYM,Yes.,101affae-9974-4a80-a6e9-daee45c6e495,81aa2db2-bb4c-4ff1-a7d0-cd820eecd8ac
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,9,TRAINEE,"I see your email address is marytest@email.com, and your mobile number is 555 987-1234. You are currently not signed up for text alerts, would you like it to stay that way?",7348a772-3120-4a47-8ade-eed97885db16,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,10,SYM,"Yes, I do not want text alerts.",45ab0683-fd66-4d72-8bad-b674fc2255ae,1eb5b968-b08a-4fe6-984f-a8b76a418857
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,11,TRAINEE,"And Mary, did you want to purchase the Carnival Vacation Protection today?",a2f19b00-8aad-4b17-90b5-31b3e76b142e,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,12,SYM,"No, thank you.",01dbc34b-7d7f-4dfc-af25-1624f4f7cda2,f367f7f6-86c7-4644-b56c-10de078136dd
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,13,TRAINEE,"Ok, Mary. How can I help you today?",ace20daf-d272-4613-bb42-aa9a926af3af,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,14,SYM,I wanted to purchase the transfers.,3215b950-105d-4df2-8c35-e1fe05aeebf9,b17e45a4-df03-4b8b-9206-4f4f8273bec9
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,15,TRAINEE,"No problem, Mary let me check a few things for you.",43fa6287-e8e8-4e3c-9c37-f6964b552564,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,16,SYM,Ok.,f4509c5b-2830-465d-93ac-d674f63d0cec,e9cc1d11-e8f8-4ad8-bbee-905fdb84a4d1
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,17,TRAINEE,"Thank you for your patience, Mary. Do you know what airport you’re flying into?",c31f95d6-5984-4a16-b0b6-417c61bfd9df,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,18,SYM,"Yes, the Miami International Airport.",ce2b5f01-cd6e-449a-9aea-6e231bf5dac4,f7d6b158-7d0f-4762-9760-98484d3fd995
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,19,TRAINEE,"Ok, great. If you fly into Miami it will be $22.99 one way, or $45.98 round trip, and I do have to tell you the recommended flight time for the pre cruise transfer is no later than 12PM, and the earliest flight for debarkation is no earlier than 12PM. Did you want to purchase for both guests?",4c1228ad-65f4-4336-bead-ec3d7301980e,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,20,SYM,Yes .,66b1215e-ca6d-42d2-a2a7-524d5f627411,db468595-8095-4360-8220-9348b49bafc5
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,21,TRAINEE,"Great, I will go ahead and add it for both guests.",5c27d2bc-4b03-41c9-a5fd-6722767041bd,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,22,TRAINEE,"Mary, may I confirm these changes?",3bdb2fb6-1b69-4e9a-82b6-4b54f8b40384,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,23,SYM,"Yes, please add them.",426ee78a-199d-4919-9bf9-d838fe13ad76,b21462aa-59db-429c-8b94-8cd0e1398386
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,24,TRAINEE,"Thank you, I’ve added the transfers for both guests. Do you have any other questions today, Mary?",246217c8-c107-4a6c-963b-2430cd1b4f3d,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,25,SYM,"Yes, I have one more question, can you tell me about the ‘Behind the Fun’ tour ?",84869b69-4e97-4e89-bcdc-ad35ee0e0e15,a8231699-0f81-4a78-8a32-4101ca898611
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,26,TRAINEE,"I’d be more than happy to tell you about that, Mary. One moment while I pull up the information.",64c3ecf6-cfd4-4141-aea6-1e01afb9d0dc,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,27,TRAINEE,"Ok, Mary, you now have the option to book the ‘Behind the Fun’ tour before your cruise. It includes a limited edition ‘Behind the Fun’ baseball cap that marks you as an honorary team member, complimentary commemorative photos, some Carnival-branded goodies, and light snacks and pastries.",09015108-7ab2-4575-b5cf-72a00ecb024d,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,28,TRAINEE,"Since you'll be sailing on the Carnival Horizon, the tour starts at $130. It runs about 3 to 3¾ hours and gives you an exclusive behind-the-scenes look at the ship. You’ll get to see the bridge, the engine control room, the main galley, staff dining areas, storerooms, the laundry, and more. It’s a rare chance to explore parts of the ship most guests never get to see.",8032a083-f66f-4bb1-873c-ca80e3e2d85d,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,29,SYM,Awesome I will go on Carnival.com and book that.,2cf77a99-5c71-49d9-8a12-db37c4769d0b,4525a450-50a7-42df-a764-5e9a521f3919
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,30,TRAINEE,"That's great, each tour is limited to 16 people so booking in advance is recommended.",e8ca077b-3eec-4282-8a2e-84e86ff7009b,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,31,TRAINEE,"Mary, do you have any other questions for me today?",c2e74ebb-ed42-4c54-83cf-1d410e5f2d8f,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,32,SYM,"No, that is all I had for you today.",d4b54661-ef31-4fd9-98de-6b906b4c3caf,1d0864e4-9fbb-4055-b8d8-3402984c1ac3
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,33,TRAINEE,"It’s been my pleasure to assist you, Mary. Would you mind if I sent you a survey about my service today?",2e171d1e-a3cc-4d04-8b9b-6ad2b4338cea,
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,34,SYM,"Yes, you can do that.",aab6338b-4a1a-4973-9a3a-8e0c545a1272,d3dafc1e-4326-4e83-b59f-4cd33b4f6099
Arise_Carnival CS - Mock Call Assessment (Tollgate),data.json,35,TRAINEE,"Thank you for calling Carnival, Have a great day!",65e52983-bbc3-4b7b-ad5f-43e1d7b9520d,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,1,TRAINEE,"Carnival Fun Ships, this is [Agent Name]. May I have your name, please?",3159c525-e652-4dd1-9b84-2c4bfd7951c4,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,2,SYM,My name is Alice Test.,78b7dc18-9410-4d54-b7c8-78faa603abf9,11bf0e2a-0fe4-401a-be4d-8cec6cc7e901
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,3,TRAINEE,"Hi, Alice. Are you currently booked on one of our Fun Ships or working with a Travel Advisor?",72b9b836-ae89-4cd0-bf76-74399dcf0d63,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,4,SYM,"No, I’m calling in to see if you can help me plan my cruise.",efa0d3e3-a6e3-48af-a5c4-242b5d73308b,42798588-e7f0-4d33-a53d-c02e40945230
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,5,TRAINEE,I’ll be happy to get your cruise booked today.,8ebcbdae-295a-41a0-a7dc-9ae472618580,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,6,TRAINEE,May I have your phone number?,ac13b7eb-0620-4780-90d7-6bb01cdb8141,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,7,SYM,"Sure, it is 305-222-3333.",cc4a5a30-eba0-4cbc-b363-adfc3881654d,011d6a0a-83b9-4970-80c1-a38613059a0f
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,8,TRAINEE,Thank you!,11878920-02de-4b9c-b612-ddeb546d6b8f,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,9,TRAINEE,What state do you live in?,9e933d96-e68c-40a4-8dcb-21d0bae0a2f8,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,10,SYM,Florida.,468fd32f-d3d9-40a6-84a7-208298073a04,2551e37a-d532-4ed7-883e-afd1665c5e30
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,11,TRAINEE,Thank you.,f617ecb6-b760-4740-a244-d683077780fb,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,12,TRAINEE,"Alice, may I have your email address?",b8dae44e-6f37-4394-b6f2-de33d946abe0,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,13,SYM,Sure! It's alice test@email.com.,3d5d8b4f-95d8-4e76-8826-27ef65fa6f16,061ef8ef-80a9-486f-ab20-1d2a8a04e351
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,14,TRAINEE,Thank you! May I have your address?,598cacfc-a871-4703-b72d-910fec60886e,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,15,SYM,"Sure! It's 1 2 3 Maple Street, Miami, Florida, 3 3 1 0 1.",13b72b64-308e-4d66-9bab-63d4d11f51d4,ca1edac4-e7cb-447e-b667-d4221bbe1342
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,16,TRAINEE,Thank you.,bb486d50-6d4d-4afa-bdb6-ded80529520a,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,17,TRAINEE,Have you cruised with Carnival before?,f00f42f5-fcca-4307-91da-5940b257e616,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,18,SYM,"No, this is my first cruise.",c406efc6-1e45-4ab3-a851-9d06b7c0af8e,38dbea35-776d-4bea-8fd7-dd058aa85486
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,19,TRAINEE,Welcome to Carnival. I’m so glad you chose to sail with us. Are you celebrating anything special?,eb6dcf26-c1d5-499d-ac17-cdab1006a6e4,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,20,SYM,I’m just wanting to plan a fun getaway vacation for just myself and my husband.,ada2751d-9ad7-447e-86b9-5a6ef34eeae2,a682d15b-1c9c-4777-a91c-7d7105b4f3f1
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,21,TRAINEE,"Fantastic! So, it sounds like you are looking for one cabin for two guests, right?",1bddb290-59d8-4a65-80b9-fa54ee45eb8b,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,22,SYM,Yes.,5b034bc5-282f-4fdf-adb3-a37b43169143,0ca513de-db9c-4a29-aa96-23947902f4e2
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,23,TRAINEE,Would anyone traveling have the need for special accommodations or is pregnant?,ab7e8f95-a263-4a39-8a54-8f7292fa980f,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,24,SYM,No.,9f7eddda-be0a-47a4-824b-3b16e1858e27,3ea907c3-9412-4040-a545-6391ad893222
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,25,TRAINEE,"And to make sure I don’t miss any promotions for you, is anyone traveling an employee of an interline company such as a passenger airline, Amtrak, or UPS or FedEx?",44d4573a-7a67-46a8-b711-70d83e8ee8dc,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,26,SYM,No.,47c6c9ad-7db4-45c8-9326-e4816205f7d4,c956e3a0-fbba-4b21-86be-9b9230ae526a
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,27,TRAINEE,"Anyone serve in the U.S. Armed Forces, Canadian National Defense or over the age of 55?",351bd6e9-90f2-4caf-aba2-f212250380c8,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,28,SYM,"No, not yet.",dd280980-df9f-400b-8b8e-cdaee0a1befd,fe34068d-60b1-4926-8c4d-47d99c084f6e
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,29,TRAINEE,Has your husband sailed with Carnival before?,8948ea5c-c721-41f7-a55f-a2f902a18d2a,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,30,SYM,No.,19d4fad6-336d-4818-8068-81c07f3fc3bf,2ea21028-811f-470c-b2a4-8bf0f265370c
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,31,TRAINEE,"And you mentioned earlier, you live in Florida, correct?",c745fbf5-4ef2-44cb-8b5d-c37b95716cc8,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,32,SYM,Yes,3d1a9936-b3ec-4849-ab21-629fe395f58d,9a5c3d95-30d1-4958-8af1-06299ebc11ae
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,33,TRAINEE,What ship and sail date have you picked out?,be7b32d0-655d-4368-b06c-921d2c22a43f,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,34,SYM,"I’m interested in sailing on the Carnival Breeze sailing April 1, 2027.",b7637466-e948-4b02-b4a2-3b1c46cb97ff,7ab493b5-fbef-4a2f-ad66-374704dc5b86
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,35,TRAINEE,"I’m glad you are calling in to book today, that’s a popular time to travel over spring break. Bear with me a moment as I pull that up.",9f7adb58-4559-4bd9-83a9-95b96d2a383e,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,36,TRAINEE,"Your cruise will be on the Breeze sailing April 1, 2027, out of the port of Galveston on a 4-day Western Caribbean itinerary. Your boarding time is from 12:30 p.m. to 2:00 p.m. and you will be visiting Cozumel, Mexico with 2 fun days at sea.",48c885c3-308f-4a7e-8acf-fa1160999801,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,37,SYM,"Yes, that's the one we want.",1424c8b4-7e2b-4ba0-bc16-c5dfa68ac1ba,e9bd4a38-b273-44fa-bd41-6417ebd0bd79
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,38,TRAINEE,Awesome!,d380d321-9373-4e3e-9593-3e7c75d70daa,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,39,TRAINEE,"Your ship, the Breeze, has 14 passenger decks. It has an adult serenity retreat that is only for guests 21 and older where you can sit back, relax, and smell the sea breeze. It also has a seaside theater where you can watch movies under the stars. There are some great additional food options too, like Guy’s Burger Joint, which has the best burgers.",c024d824-c274-4a25-b879-179171ea474e,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,40,SYM,My husband loves burgers. Sounds good!,e146e467-9062-4a35-8d30-65896e1c603c,0d4aa903-6087-4088-931e-3dbd653e2a3e
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,41,TRAINEE,Great!,bb39bc27-821b-4109-a526-b914f270f2cb,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,42,TRAINEE,"Things included in your cruise are breakfast, lunch, dinner, snacks, ice cream, pizza, comedy shows, and our amazing stage shows. Not included are our spa treatments, alcoholic beverages, carbonated beverages, gratuities, and if you want to try your luck in our casino at sea.",d1b73dc8-faf6-4972-a9a7-a31dfaed4a17,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,43,SYM,This sounds perfect for us.,7e9e1973-0645-4074-bcdd-3b8f05a5cf8f,b2ca46f4-b7a6-4f94-bb14-0665065ba1c7
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,44,TRAINEE,"Great! Now, let’s find you the best deal for your cruise.",a5256e22-39d6-49ba-9430-53acbd3a531d,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,45,TRAINEE,We have a lot of great promotions. I’m seeing the best promotion for you today is our Early Saver Promotion.,db05da65-7655-4c1f-91cb-f54efda3ea99,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,46,TRAINEE,"The Early Saver promotion guarantees you the lowest rate from the day that you book all the way until two business days prior to your sailing. If at any time the rate drops below what you booked at, you can fill out a price protection form online and have the balance adjusted before final payment or get the difference as an onboard credit after final. Keep in mind this promotion does not allow name changes and if you cancel or move your sailing prior to final payment date it’s only $50 per person fee and the rest of the money gets put towards a future cruise credit which you have 12 months to use.",50a1f814-5f7f-4c53-a653-74c54e7a30da,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,47,SYM,Okay.,89a42dba-b088-4ca4-b81e-09395e42d3d4,bb0d83c0-64a3-4bad-85c7-1cff1aefbcde
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,48,TRAINEE,"What kind of cabin would you prefer? They're all very spacious. We have an interior cabin with no windows, an Ocean View with a big picture window, a Balcony cabin that gives you both a window and your own private balcony, and our largest option - a Suite, which has even more space and a balcony.",4a3fc20e-044f-42f2-a677-c466ce193653,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,49,SYM,We would like to have a Balcony cabin.,25851d37-b289-4a35-91e8-3f2ee3b9bdee,aa94eeed-8b03-4d12-a1d3-1623b0282722
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,50,TRAINEE,"Great choice! That’s my favorite, too.",2a2234f7-fa91-4c59-a82d-6edb816b1e7c,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,51,TRAINEE,I’m looking forward to finding you a great balcony.,390b93c6-9de7-4a77-b3a3-b3d0c7c99dfc,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,52,TRAINEE,"I found a great cabin for you. It’s on our Lido Deck, Deck 10. There are only 4 cabins left that accommodate 2 guests on this deck so I’m glad you called in today. This will put you in the middle of the ship. Let’s look at the details about your cabin.",c49826e5-977c-4eb8-b872-234d4d358e0a,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,53,TRAINEE,"Your cabin has 220 square feet, two twin size beds that will convert to a king for you, and your own private balcony. One of the best things about a balcony is how you can enjoy your morning coffee or a glass of wine at night while you enjoy the sounds, smell, and view of the ocean from your own private balcony.",282e157f-58fb-4dc0-9d3c-1b057d6de0c8,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,54,SYM,Sounds perfect for us.,457cb61e-8533-4e66-851b-539569d0448e,05f3ab4d-875b-41f9-b576-faf9b4daba30
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,55,TRAINEE,"Awesome, let me get the pricing for your cabin.",b0787b12-7491-4e18-b85c-f063a4fa46c1,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,56,TRAINEE,"Your cabin is only an average rate of $829 per person including taxes and fees based upon 2 guests in the cabin. Carnival Vacation Protection is $190 for the cabin, giving you a total of $1848.00.",5b05ae9e-8d45-48f2-9d97-fbbda7cff8bf,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,57,TRAINEE,"All we need to get started today is a small deposit of $340, which includes activation of your Carnival Vacation Protection. The remaining balance won't be due until your final payment date of 1/16/2027. Would you like to book this with early, late or your-time dining?",90f7ca28-de9a-43dd-9dbf-7555cd0b3f5b,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,58,SYM,Let’s book for a late dining.,1cbfdb69-ce55-498e-bda2-aea7ab94ba44,3ecf2221-ca7b-4c7d-a0b5-43a9755a0760
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,59,TRAINEE,Wonderful!,0f8bf283-e757-4f47-9e78-3332a68f544b,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,60,TRAINEE,One moment while I grab your cabin.,92b119c7-cbf3-40bd-8cb3-def98d94dee2,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,61,TRAINEE,"I have the perfect cabin for you, cabin number 10277.",f66805b1-4add-4254-b0f2-caf285c9add8,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,62,TRAINEE,"After this call, you will receive an email confirmation. Please read the terms and conditions of your email cruise ticket contract, as you are legally bound by the terms.",c91b3499-f427-4562-8488-d23629e1ea34,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,63,SYM,Okay.,8eeb1a27-7276-46a7-bd10-a9b1d566659c,ad18292f-c235-4a67-ae50-6f5af014b6df
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,64,TRAINEE,May I have each name as it appears on their travel documents?,6a40d8b6-69ff-40e4-9835-121cdc9e1c3f,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,65,SYM,Alice Test 05/14/1985 and James Test 9/24/1984.,c006a108-c303-4444-a05e-3c86a44bcba1,3827fec6-98bb-4c82-acf8-ea7671693005
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,66,TRAINEE,"Thank you! Just to confirm, that was Alice Test with date of birth 05/14/1985 and you said it was your husband traveling with you, James Test, with his date of birth 9/24/1984?",26644c02-3afe-4cee-a56c-401063d37dfb,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,67,SYM,That is correct.,37458cc7-cd5f-482d-b055-00305f9d9091,28a6bfb9-4f7b-4d08-840f-d49690543362
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,68,TRAINEE,Is everyone traveling a U.S. Citizen and U.S. Resident?,97a808b6-9956-4a13-9859-a2ebdaf65f71,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,69,SYM,"Yes, we are.",9edcfbe9-b793-4e9e-b9a7-2195103eb0ed,6ee26e8c-6afe-4e2e-8093-cb168199355a
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,70,TRAINEE,Thank you!,e28533e9-3e5c-44d4-acb2-6eb7f34ab129,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,71,TRAINEE,"And you mentioned earlier you both live in Florida, correct?",2bc5c64d-c476-437f-a22a-c0c09d9def49,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,72,SYM,Correct.,d3adb06a-2334-4a4b-af8a-22155595df52,d91e7e4d-9859-4702-beb0-55e052730baa
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,73,TRAINEE,"Would you like to go ahead and include your prepaid gratuities, or will you be taking care of that onboard?",cd82582f-8074-4ed9-b43a-b409b1d5ea32,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,74,SYM,I think I’ll handle that onboard.,8a1ed698-456e-4811-9fd9-c2f86bbdf38f,415d7aae-0af3-410e-a385-aeffddbd4e1c
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,75,TRAINEE,"Okay, thanks!",cda1b8b7-9b49-482b-a8c1-28c1673bca34,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,76,TRAINEE,I selected your dinner time as Late Dining as you requested earlier.,687061b8-069c-4c89-a055-51d3874d4a3d,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,77,SYM,Great!,2344ee17-fe86-4064-aa9a-2dd6e39ff9f1,efd18df2-39ea-4f1f-9cb0-917111df6006
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,78,TRAINEE,Please choose a 4-digit pin number that is easy for you to remember for security purposes.,54a3ed2d-b789-4063-b84f-6e63dc41ca23,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,79,SYM,How about 2 4 8 7.,9bbe7854-4edc-482d-8093-9b1b891861a7,38bcc782-2b97-4120-bed7-30811109f6aa
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,80,TRAINEE,"2487, got it!",9e863d0a-5ec6-4c38-9694-e00a5a7161cb,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,81,TRAINEE,And to confirm does anyone traveling have a special need or pregnant?,3a1831dc-f20f-44e4-92f4-30dd5bc9682d,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,82,SYM,No,6cc41598-b5f7-44cf-ae3c-b4f0f7949e9b,adb83523-0bec-4dd6-8401-91347985ec3d
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,83,TRAINEE,"And you mentioned earlier you were sailing for a fun get away. No special occasions, right?",e20af9f7-be58-49a0-b7a4-f0458562eace,
Arise_Carnival DS - Sales Inquiries - Booking created ~ BEG,data.json,84,SYM,"Correct, not this time. This time it is just for fun.",c86f622c-8429-4ade-a8e6-5d6faa44cc76,c558f920-60ae-4cc2-974e-19bdd187f315
